country,id,AgeGrpStart,2023,2024,2025
bangladesh,50,9,1514628.0,1508706.5,1508215.5
burkina_faso,854,9,323281.0,327703.5,330624.5
cambodia,116,9,167203.0,169639.0,172037.5
cameroon,120,9,368931.0,379781.5,393418.0
cote_divoire,384,9,419938.0,442900.0,445201.5
eritrea,232,9,43838.5,43472.0,43029.5
ethiopia,231,9,1525322.5,1565850.0,1612309.0
gambia,270,9,36632.0,36584.5,36473.0
kenya,404,9,671931.0,672764.5,675071.5
kosovo,312,9,2184.0,2091.5,1977.5
kyrgyzstan,417,9,75137.0,77443.0,77941.0
laos,418,9,75661.0,77187.0,78295.5
lesotho,426,9,27529.5,27530.5,27640.0
liberia,430,9,71170.5,71033.0,71423.5
malawi,454,9,285261.0,284551.0,283920.5
mali,466,9,344531.0,353233.5,361582.0
mauritania,478,9,67902.5,69435.0,70969.5
mozambique,508,9,472742.5,481742.5,493164.0
myanmar,104,9,427861.0,431205.5,435551.0
nepal,524,9,276476.0,274406.0,270456.0
nigeria,566,9,3066008.0,3095330.5,3096862.5
rwanda,646,9,170767.0,173953.0,176562.0
sao_tome_principe,678,9,2998.5,2963.0,2911.0
senegal,686,9,217733.0,218296.0,219384.5
sierra_leone,694,9,104575.5,104792.0,105675.0
solomon_islands,90,9,9712.0,9820.5,9891.0
sri_lanka,144,9,173320.5,169643.0,166463.0
tanzania,834,9,888672.0,909969.0,933388.0
togo,768,9,117034.0,119083.0,121366.0
uganda,800,9,671264.0,681015.5,692053.5
zambia,894,9,279876.5,283312.0,287077.0
zimbabwe,716,9,228601.0,223352.5,218794.0
