year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,0
2020,cancers,20,female,total,0
2020,cancers,25,female,total,29
2020,cancers,30,female,total,92
2020,cancers,35,female,total,136
2020,cancers,40,female,total,161
2020,cancers,45,female,total,164
2020,cancers,50,female,total,149
2020,cancers,55,female,total,135
2020,cancers,60,female,total,112
2020,cancers,65,female,total,81
2020,cancers,70,female,total,48
2020,cancers,75,female,total,21
2020,cancers,80,female,total,4
2020,cancers,85,female,total,0
