year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,4
2020,cancers,20,female,total,14
2020,cancers,25,female,total,54
2020,cancers,30,female,total,80
2020,cancers,35,female,total,165
2020,cancers,40,female,total,89
2020,cancers,45,female,total,138
2020,cancers,50,female,total,146
2020,cancers,55,female,total,136
2020,cancers,60,female,total,106
2020,cancers,65,female,total,87
2020,cancers,70,female,total,55
2020,cancers,75,female,total,34
2020,cancers,80,female,total,18
2020,cancers,85,female,total,9
