year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,0
2020,cancers,20,female,total,10
2020,cancers,25,female,total,131
2020,cancers,30,female,total,245
2020,cancers,35,female,total,351
2020,cancers,40,female,total,399
2020,cancers,45,female,total,393
2020,cancers,50,female,total,356
2020,cancers,55,female,total,295
2020,cancers,60,female,total,230
2020,cancers,65,female,total,171
2020,cancers,70,female,total,109
2020,cancers,75,female,total,56
2020,cancers,80,female,total,20
2020,cancers,85,female,total,4
