year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,0
2020,cancers,20,female,total,116
2020,cancers,25,female,total,325
2020,cancers,30,female,total,473
2020,cancers,35,female,total,540
2020,cancers,40,female,total,579
2020,cancers,45,female,total,542
2020,cancers,50,female,total,473
2020,cancers,55,female,total,398
2020,cancers,60,female,total,313
2020,cancers,65,female,total,203
2020,cancers,70,female,total,123
2020,cancers,75,female,total,51
2020,cancers,80,female,total,9
2020,cancers,85,female,total,0
