year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,0
2020,cancers,20,female,total,13
2020,cancers,25,female,total,61
2020,cancers,30,female,total,114
2020,cancers,35,female,total,173
2020,cancers,40,female,total,224
2020,cancers,45,female,total,263
2020,cancers,50,female,total,262
2020,cancers,55,female,total,245
2020,cancers,60,female,total,222
2020,cancers,65,female,total,179
2020,cancers,70,female,total,107
2020,cancers,75,female,total,54
2020,cancers,80,female,total,14
2020,cancers,85,female,total,1
