year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,49
2020,cancers,20,female,total,263
2020,cancers,25,female,total,422
2020,cancers,30,female,total,552
2020,cancers,35,female,total,650
2020,cancers,40,female,total,685
2020,cancers,45,female,total,669
2020,cancers,50,female,total,596
2020,cancers,55,female,total,484
2020,cancers,60,female,total,360
2020,cancers,65,female,total,264
2020,cancers,70,female,total,175
2020,cancers,75,female,total,95
2020,cancers,80,female,total,38
2020,cancers,85,female,total,11
