year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,0
2020,cancers,20,female,total,10
2020,cancers,25,female,total,4
2020,cancers,30,female,total,38
2020,cancers,35,female,total,108
2020,cancers,40,female,total,183
2020,cancers,45,female,total,249
2020,cancers,50,female,total,287
2020,cancers,55,female,total,269
2020,cancers,60,female,total,250
2020,cancers,65,female,total,246
2020,cancers,70,female,total,231
2020,cancers,75,female,total,200
2020,cancers,80,female,total,107
2020,cancers,85,female,total,62
