location,age_9,age_10,age_11,age_12,age_13,age_14,age_15,age_16,age_17,age_18,age_19
bangladesh,1518040.5966,1528263.0922,1548708.0834,1579375.5702,1610043.057,1650933.0394,1691823.0218,1727601.7564,1748046.7476,1763380.491,1763380.491
burkina faso,321182.7462,314066.4372,306475.707599999,297936.1368,289396.566,280382.5746,272317.424399999,262354.5918,250494.076799999,241954.506,232466.093999999
cambodia,166027.9544,164949.8508,162793.643599999,163871.747199999,163871.747199999,164949.8508,164410.799,162254.5918,157942.1774,152551.659399999,146622.089599999
cameroon,365061.9892,358405.88,351749.7708,345605.67,338949.5608,331781.4432,328197.3844,374278.1404,369158.0564,368134.0396,400902.5772
cote divoire,397981.261299999,378497.1379,377414.686599999,374528.149799999,365146.9052,355404.843499999,342415.4279,326178.658399999,305251.2666,289375.314199999,280715.703799999
ethiopia,1507968,1499520,1497408,1482624,1472064,1469952,1457280,1463616,1421376,1387584,1355904
gambia,36639.9362999999,36050.8698,34833.4657,33694.6038,32595.013,31652.5065999999,30867.0846,30592.1868999999,29060.6139999999,28667.903,27921.7520999999
laos,75308.1839,74678.8676,74049.5512999999,73839.7792,74049.5512999999,73839.7792,74049.5512999999,79713.398,78454.7654,82020.8911,80762.2585
mali,340033.980799999,333598.006399999,323944.0448,313217.420799999,302490.796799999,291227.8416,280501.2176,271919.918399999,266556.6064,253684.657599999,241349.039999999
mozambique,468722.2144,458735.235399999,446750.860599999,436098.083,426776.9026,404805.5488,410131.9376,458735.235399999,472051.207399999,522651.900999999,570589.400199999
myanmar,427716.9088,425567.5776,425567.5776,427716.9088,429866.24,429866.24,429866.24,432015.5712,432015.5712,438463.5648,447060.8896
nigeria,3041519.6966,2983543.51469999,2925567.3328,2867591.1509,2787316.4375,2707041.72409999,2604468.4792,2568790.8288,2510814.6469,2430539.9335,2452838.465
sierra leone,104447.6992,104447.6992,103097.0824,100620.9516,99495.4376,98820.1292,100395.8488,106923.83,116603.2504,117053.456,127183.082
tanzania,873747.151,839578.267999999,812243.1616,799551.8622,783931.8014,767335.4868,753667.9336,742929.1418,726332.827199999,701926.4822,673615.122
togo,116086.95,114926.0805,114262.7265,112936.0185,109950.9255,105970.8015,102156.516,98176.392,94693.7835,91045.3365,88391.9205
zambia,278474.547,274438.684,269781.919,265435.605,259226.585,253638.467,248671.251,244945.839,232527.799,233769.603,230975.544
