,location,par1,par2,dist
0,Bangladesh,,,lognormal
1,Burkina Faso,,,lognormal
2,Cambodia,,,lognormal
3,Cameroon,19.465022867081586,3.245297380451358,lognormal
4,Ethiopia,,,lognormal
5,Gambia,,,lognormal
6,Malawi,18.661550897370137,3.157692331110352,lognormal
7,Mali,,,lognormal
8,Mozambique,17.691420976753562,2.623842932154142,lognormal
9,Myanmar,,,lognormal
10,Nepal,,,lognormal
11,Nigeria,,,lognormal
12,Sierra Leone,18.6896536067683,2.6830029097813672,lognormal
13,Tanzania,18.39559348476703,2.7041700923084426,lognormal
14,Togo,19.687920637220614,3.4045193073473548,lognormal
15,Uganda,18.616848509079883,2.8665946291840183,lognormal
16,Zambia,18.6459911760071,3.059130649059651,lognormal
