location,par1,par2,dist
Bangladesh,,,lognormal
Burkina Faso,17.84171682,2.262263948,lognormal
Cameroon,17.16236273,2.377635538,lognormal
Ethiopia,16.77179203,2.4191492,lognormal
Malawi,16.94175755,2.205495262,lognormal
Mozambique,16.99353509,2.586849241,lognormal
Myanmar,,,lognormal
Nigeria,17.41386771,2.754637603,lognormal
Sierra Leone,16.08723809,1.682212122,lognormal
Tanzania,17.33401631,2.168069122,lognormal
Togo,18.43159846,2.949764745,lognormal
Uganda,17.07053752,2.431205496,lognormal
Zambia,16.69469643,1.785766864,lognormal
