,location,Baseline,Baseline - lb,Baseline - ub,Single dose,Single dose - lb,Single dose - ub,Double dose,Double dose - lb,Double dose - ub
0,bangladesh,64503.94934272766,50534.907583236694,79025.00637893677,33453.11647415161,22259.483712387086,39525.27913780213,50243.56633758545,37148.548785018924,60798.294189453125
0,burkina faso,37571.73289990425,36411.30043344498,38741.17831869125,30054.543266773224,28962.902243041994,30991.52321577072,32547.621970176697,31822.2336438179,33123.568561983106
0,cambodia,10177.29833984375,8184.4237655639645,11406.336486816406,7692.269454956055,6815.771197509765,8472.277436828614,9190.833511352539,7436.219841003418,10627.945660400392
0,cameroon,97366.04619932175,94076.40365028381,100542.5381093979,93853.68059778214,90059.7070763588,95680.52127981186,95033.8545665741,92046.80926017762,98797.61834840775
0,cote divoire,62333.011649131775,59620.74753127098,65268.98176784515,57743.411173820496,55850.92129845619,60545.161834144594,60072.48990154266,58504.37764344215,62432.95508036613
0,ethiopia,361817.46535110474,349726.24642105104,369779.7440759659,156942.70014572144,153335.40498218537,163192.10752601625,311583.3981370926,307543.13169384,321797.0645357132
0,gambia,5161.206714555621,4997.288900783658,5311.183191871643,4224.393408417702,4060.2400191605093,4394.39823167026,4788.327092170715,4689.167477050423,4937.91088551879
0,laos,5046.068105697632,4112.372444152832,5705.1720718383785,447.8634548187256,247.3213176727295,501.98465919494635,3395.161600112915,3032.885166168213,4375.2168979644775
0,mali,146839.13671875,144053.44846801757,148521.06032104493,146943.7194519043,144648.23178710937,149136.76839294433,146562.9284362793,144743.16298828126,148971.57752685546
0,mozambique,130449.82396268845,128724.74827075005,133877.34321866036,118292.38089489937,114560.59232363701,121361.03912177085,125789.25440073013,122143.34786481857,129934.50277557372
0,myanmar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,nepal,51195.916172504425,47144.366671180724,55368.81158790588,20473.35031080246,17857.896283817292,23640.376291561126,44832.77677297592,41972.62456789017,47537.487628364564
0,nigeria,285265.05291748047,276055.7609725952,294251.3698974609,203496.34823608398,194340.57463531493,207599.2763671875,245016.20401763916,235820.29003448487,248320.84295654297
0,sierra leone,17045.91710472107,15988.608786773682,17863.940555000307,16529.305750846863,15701.602580070496,17325.26914253235,16613.71949672699,15856.923357582093,17639.06277141571
0,tanzania,359173.26597213745,353572.54342918395,365412.457081604,172176.94753932953,169461.01035585403,174585.38022203447,330822.9852862358,322682.0275182724,337357.03439826966
0,togo,13640.220732808113,12239.382004785537,15574.396329069137,2873.152021050453,2597.6942789077757,3402.342553806305,9495.084919214249,9065.397187590599,10903.883805656433
0,zambia,121356.82694029808,118765.48885457516,123698.8480824709,39647.686040997505,37178.048209166525,40832.987184715275,93292.12747693062,90736.80345716476,96003.59676470757
