comparison,year,cum_med,cum_lb,cum_ub
Single dose shipments vs Double dose,2024.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2025.0000,0.0000,0.0000,0.6647
Single dose shipments vs Double dose,2026.0000,5.3633,-5.5321,14.5151
Single dose shipments vs Double dose,2027.0000,5.1631,-39.3386,36.9203
Single dose shipments vs Double dose,2028.0000,10.3608,-67.6459,74.0586
Single dose shipments vs Double dose,2029.0000,23.1619,-105.2325,184.6750
Single dose shipments vs Double dose,2030.0000,43.8888,-137.9407,307.1877
Single dose shipments vs Double dose,2031.0000,108.2530,-198.2334,450.9190
Single dose shipments vs Double dose,2032.0000,203.8187,-242.4833,701.2079
Single dose shipments vs Double dose,2033.0000,377.4021,-248.7280,1011.2544
Single dose shipments vs Double dose,2034.0000,592.9029,-248.5436,1529.2183
Single dose shipments vs Double dose,2035.0000,977.0190,-116.0304,2027.6717
Single dose shipments vs Double dose,2036.0000,1578.2582,159.5143,3054.5654
Single dose shipments vs Double dose,2037.0000,2426.7783,612.8548,4383.7711
Single dose shipments vs Double dose,2038.0000,3232.2829,1159.0396,5669.4757
Single dose shipments vs Double dose,2039.0000,4470.2346,1941.6413,7390.9983
Single dose shipments vs Double dose,2040.0000,6174.2448,2712.3881,9610.5914
Single dose shipments vs Double dose,2041.0000,7963.6354,4069.8015,12109.0503
Single dose shipments vs Double dose,2042.0000,10234.2247,5551.7960,15348.2491
Single dose shipments vs Double dose,2043.0000,12992.4200,7559.5785,18726.2837
Single dose shipments vs Double dose,2044.0000,16196.5034,10116.4808,22479.2198
Single dose shipments vs Double dose,2045.0000,19587.8611,12896.2965,26612.3837
Single dose shipments vs Double dose,2046.0000,23444.9186,16000.1655,30913.0280
Single dose shipments vs Double dose,2047.0000,27866.0363,19730.2682,35812.7403
Single dose shipments vs Double dose,2048.0000,32692.2096,23664.1684,41608.1351
Single dose shipments vs Double dose,2049.0000,38044.2907,27999.2404,48171.3906
Single dose shipments vs Double dose,2050.0000,43930.1554,32984.8786,55189.8328
Single dose shipments vs Double dose,2051.0000,50278.0073,38314.0436,62562.0944
Single dose shipments vs Double dose,2052.0000,57061.1520,43994.6858,70640.8525
Single dose shipments vs Double dose,2053.0000,64610.5585,50121.6709,78755.2940
Single dose shipments vs Double dose,2054.0000,72157.3127,56545.1154,87927.4943
Single dose shipments vs Double dose,2055.0000,80831.5534,63057.7676,97158.8680
Single dose shipments vs Double dose,2056.0000,88976.2187,70081.1153,107161.4024
Single dose shipments vs Double dose,2057.0000,97790.8185,78047.4137,117299.4465
Single dose shipments vs Double dose,2058.0000,107316.1502,86129.5262,128409.7991
Single dose shipments vs Double dose,2059.0000,117376.7229,94773.1541,139665.1398
Single dose shipments vs Double dose,2060.0000,127272.0365,103678.3005,151001.2660
Single dose shipments vs Double dose,2061.0000,137417.2532,112239.0196,162832.6380
Single dose shipments vs Double dose,2062.0000,148087.6566,121685.1496,175170.4338
Single dose shipments vs Double dose,2063.0000,159385.8861,131732.1213,187811.2876
Single dose shipments vs Double dose,2064.0000,170659.9311,141810.0474,200985.0836
Single dose shipments vs Double dose,2065.0000,181317.4042,151498.7729,213453.7284
