location,bin_idx,bin_label,value
bangladesh,0,0-15,0.0000
bangladesh,1,15-20,6.0000
bangladesh,2,20-25,23.0000
bangladesh,3,25-30,193.0000
bangladesh,4,30-35,536.0000
bangladesh,5,35-40,859.0000
bangladesh,6,40-45,1139.0000
bangladesh,7,45-50,1256.0000
bangladesh,8,50-55,1290.0000
bangladesh,9,55-60,1122.0000
bangladesh,10,60-65,751.0000
bangladesh,11,65-70,419.0000
bangladesh,12,70-75,318.0000
bangladesh,13,75-80,206.0000
bangladesh,14,80-85,98.0000
bangladesh,15,85+,52.0000
burkina faso,0,0-15,0.0000
burkina faso,1,15-20,0.0000
burkina faso,2,20-25,0.0000
burkina faso,3,25-30,29.0000
burkina faso,4,30-35,92.0000
burkina faso,5,35-40,136.0000
burkina faso,6,40-45,161.0000
burkina faso,7,45-50,164.0000
burkina faso,8,50-55,149.0000
burkina faso,9,55-60,135.0000
burkina faso,10,60-65,112.0000
burkina faso,11,65-70,81.0000
burkina faso,12,70-75,48.0000
burkina faso,13,75-80,21.0000
burkina faso,14,80-85,4.0000
burkina faso,15,85+,0.0000
cambodia,0,0-15,0.0000
cambodia,1,15-20,4.0000
cambodia,2,20-25,14.0000
cambodia,3,25-30,54.0000
cambodia,4,30-35,80.0000
cambodia,5,35-40,165.0000
cambodia,6,40-45,89.0000
cambodia,7,45-50,138.0000
cambodia,8,50-55,146.0000
cambodia,9,55-60,136.0000
cambodia,10,60-65,106.0000
cambodia,11,65-70,87.0000
cambodia,12,70-75,55.0000
cambodia,13,75-80,34.0000
cambodia,14,80-85,18.0000
cambodia,15,85+,9.0000
cameroon,0,0-15,0.0000
cameroon,1,15-20,0.0000
cameroon,2,20-25,10.0000
cameroon,3,25-30,131.0000
cameroon,4,30-35,245.0000
cameroon,5,35-40,351.0000
cameroon,6,40-45,399.0000
cameroon,7,45-50,393.0000
cameroon,8,50-55,356.0000
cameroon,9,55-60,295.0000
cameroon,10,60-65,230.0000
cameroon,11,65-70,171.0000
cameroon,12,70-75,109.0000
cameroon,13,75-80,56.0000
cameroon,14,80-85,20.0000
cameroon,15,85+,4.0000
cote divoire,0,0-15,0.0000
cote divoire,1,15-20,3.0000
cote divoire,2,20-25,9.0000
cote divoire,3,25-30,10.0000
cote divoire,4,30-35,58.0000
cote divoire,5,35-40,123.0000
cote divoire,6,40-45,195.0000
cote divoire,7,45-50,242.0000
cote divoire,8,50-55,276.0000
cote divoire,9,55-60,301.0000
cote divoire,10,60-65,294.0000
cote divoire,11,65-70,238.0000
cote divoire,12,70-75,155.0000
cote divoire,13,75-80,101.0000
cote divoire,14,80-85,47.0000
cote divoire,15,85+,15.0000
ethiopia,0,0-15,0.0000
ethiopia,1,15-20,0.0000
ethiopia,2,20-25,46.0000
ethiopia,3,25-30,108.0000
ethiopia,4,30-35,300.0000
ethiopia,5,35-40,546.0000
ethiopia,6,40-45,788.0000
ethiopia,7,45-50,977.0000
ethiopia,8,50-55,1094.0000
ethiopia,9,55-60,1016.0000
