scenario,year,cum_med,cum_lb,cum_ub
No vaccination,2024.0000,0.0000,0.0000,0.0000
No vaccination,2025.0000,0.0000,0.0000,0.0000
No vaccination,2026.0000,0.0000,0.0000,0.0000
No vaccination,2027.0000,0.0000,0.0000,0.0000
No vaccination,2028.0000,0.0000,0.0000,0.0000
No vaccination,2029.0000,0.0000,0.0000,0.0000
No vaccination,2030.0000,0.0000,0.0000,0.0000
No vaccination,2031.0000,0.0000,0.0000,0.0000
No vaccination,2032.0000,0.0000,0.0000,0.0000
No vaccination,2033.0000,0.0000,0.0000,0.0000
No vaccination,2034.0000,0.0000,0.0000,0.0000
No vaccination,2035.0000,0.0000,0.0000,0.0000
No vaccination,2036.0000,851.8746,170.3749,1533.3743
No vaccination,2037.0000,851.8746,170.3749,1533.3743
No vaccination,2038.0000,851.8746,170.3749,1533.3743
No vaccination,2039.0000,2555.6239,511.1248,4600.1230
No vaccination,2040.0000,2555.6239,511.1248,4600.1230
No vaccination,2041.0000,2555.6239,511.1248,4600.1230
No vaccination,2042.0000,3407.4985,681.4997,6133.4974
No vaccination,2043.0000,3407.4985,681.4997,6133.4974
No vaccination,2044.0000,8518.7465,4429.7481,12607.7448
No vaccination,2045.0000,11926.2450,7837.2467,16015.2433
No vaccination,2046.0000,15333.7435,11244.7452,19422.7419
No vaccination,2047.0000,17037.4928,12948.4945,21126.4911
No vaccination,2048.0000,21296.8660,16526.3679,26067.3640
No vaccination,2049.0000,26408.1138,21637.6157,31178.6118
No vaccination,2050.0000,33223.1110,25726.6140,40719.6079
No vaccination,2051.0000,36630.6095,29134.1125,44127.1065
No vaccination,2052.0000,45149.3560,34926.8601,55371.8519
No vaccination,2053.0000,52816.2278,40549.2327,65083.2229
No vaccination,2054.0000,61334.9742,47704.9796,74964.9689
No vaccination,2055.0000,68149.9713,51793.9779,84505.9648
No vaccination,2056.0000,86039.3386,64912.8472,107165.8300
No vaccination,2057.0000,102224.9570,77690.9672,126758.9469
No vaccination,2058.0000,120114.3248,92172.8363,148055.8134
No vaccination,2059.0000,145670.5632,116366.0751,174975.0513
No vaccination,2060.0000,163559.9302,126758.9456,200360.9147
No vaccination,2061.0000,191671.7924,154189.3081,229154.2766
No vaccination,2062.0000,218079.9054,178552.9221,257606.8887
No vaccination,2063.0000,245339.8932,203086.9115,287592.8749
No vaccination,2064.0000,279414.8773,235798.8966,323030.8581
No vaccination,2065.0000,310934.2378,266636.7571,355231.7185
No vaccination,2066.0000,340749.8492,291681.8710,389817.8275
No vaccination,2067.0000,368009.8373,317578.8596,418440.8149
No vaccination,2068.0000,407196.0684,355402.0912,458990.0455
No vaccination,2069.0000,453197.2964,400040.3204,506354.2724
No vaccination,2070.0000,498346.6514,441782.1781,554911.1246
No vaccination,2071.0000,534125.3848,473471.9139,594778.8557
No vaccination,2072.0000,569904.1179,507887.6480,631920.5878
No vaccination,2073.0000,609090.3496,536169.8854,682010.8139
No vaccination,2074.0000,648276.5808,569904.1195,726649.0421
No vaccination,2075.0000,692574.0598,611475.5997,773672.5200
No vaccination,2076.0000,721537.7968,637713.3379,805362.2556
No vaccination,2077.0000,764983.4008,679114.4430,850852.3585
No vaccination,2078.0000,799058.3851,707737.4305,890379.3397
No vaccination,2079.0000,826318.3734,734997.4188,917639.3280
No vaccination,2080.0000,868060.2289,769242.7782,966877.6796
No vaccination,2081.0000,904690.8365,805191.8861,1004189.7870
No vaccination,2082.0000,934506.4480,831599.9992,1037412.8968
No vaccination,2083.0000,960914.5609,857326.6124,1064502.5094
