comparison,year,cum_med,cum_lb,cum_ub
Single dose shipments vs Double dose,2024.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2025.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2026.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2027.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2028.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2029.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2030.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2031.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2032.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2033.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2034.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2035.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2036.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2037.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2038.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2039.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2040.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2041.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2042.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2043.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2044.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2045.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2046.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2047.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2048.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2049.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2050.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2051.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2052.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2053.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2054.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2055.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2056.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2057.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2058.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2059.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2060.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2061.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2062.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2063.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2064.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2065.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2066.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2067.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2068.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2069.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2070.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2071.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2072.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2073.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2074.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2075.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2076.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2077.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2078.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2079.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2080.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2081.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2082.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2083.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2084.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2085.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2086.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2087.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2088.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2089.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2090.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2091.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2092.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2093.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2094.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2095.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2096.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2097.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2098.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2099.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2100.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2101.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2102.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2103.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2104.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2105.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2106.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2107.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2108.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2109.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2110.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2111.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2112.0000,0.0000,0.0000,0.0000
Single dose shipments vs Double dose,2113.0000,0.0000,0.0000,0.0000
