scenario,year,cum_med,cum_lb,cum_ub
No vaccination,2024.0000,0.0000,0.0000,0.0000
No vaccination,2025.0000,0.0000,0.0000,0.0000
No vaccination,2026.0000,0.0000,0.0000,0.0000
No vaccination,2027.0000,0.0000,0.0000,0.0000
No vaccination,2028.0000,0.0000,0.0000,0.0000
No vaccination,2029.0000,0.0000,0.0000,0.0000
No vaccination,2030.0000,0.0000,0.0000,0.0000
No vaccination,2031.0000,0.0000,0.0000,0.0000
No vaccination,2032.0000,0.0000,0.0000,0.0000
No vaccination,2033.0000,0.0000,0.0000,0.0000
No vaccination,2034.0000,0.0000,0.0000,0.0000
No vaccination,2035.0000,0.0000,0.0000,0.0000
No vaccination,2036.0000,0.0000,0.0000,0.0000
No vaccination,2037.0000,0.0000,0.0000,0.0000
No vaccination,2038.0000,0.0000,0.0000,0.0000
No vaccination,2039.0000,0.0000,0.0000,0.0000
No vaccination,2040.0000,0.0000,0.0000,0.0000
No vaccination,2041.0000,0.0000,0.0000,0.0000
No vaccination,2042.0000,0.0000,0.0000,0.0000
No vaccination,2043.0000,0.0000,0.0000,0.0000
No vaccination,2044.0000,0.0000,0.0000,0.0000
No vaccination,2045.0000,0.0000,0.0000,0.0000
No vaccination,2046.0000,0.0000,0.0000,0.0000
No vaccination,2047.0000,0.0000,0.0000,0.0000
No vaccination,2048.0000,0.0000,0.0000,0.0000
No vaccination,2049.0000,0.0000,0.0000,0.0000
No vaccination,2050.0000,0.0000,0.0000,0.0000
No vaccination,2051.0000,0.0000,0.0000,0.0000
No vaccination,2052.0000,0.0000,0.0000,0.0000
No vaccination,2053.0000,0.0000,0.0000,0.0000
No vaccination,2054.0000,0.0000,0.0000,0.0000
No vaccination,2055.0000,0.0000,0.0000,0.0000
No vaccination,2056.0000,0.0000,0.0000,0.0000
No vaccination,2057.0000,0.0000,0.0000,0.0000
No vaccination,2058.0000,0.0000,0.0000,0.0000
No vaccination,2059.0000,0.0000,0.0000,0.0000
No vaccination,2060.0000,0.0000,0.0000,0.0000
No vaccination,2061.0000,0.0000,0.0000,0.0000
No vaccination,2062.0000,0.0000,0.0000,0.0000
No vaccination,2063.0000,0.0000,0.0000,0.0000
No vaccination,2064.0000,0.0000,0.0000,0.0000
No vaccination,2065.0000,0.0000,0.0000,0.0000
No vaccination,2066.0000,0.0000,0.0000,0.0000
No vaccination,2067.0000,0.0000,0.0000,0.0000
No vaccination,2068.0000,0.0000,0.0000,0.0000
No vaccination,2069.0000,0.0000,0.0000,0.0000
No vaccination,2070.0000,0.0000,0.0000,0.0000
No vaccination,2071.0000,0.0000,0.0000,0.0000
No vaccination,2072.0000,0.0000,0.0000,0.0000
No vaccination,2073.0000,0.0000,0.0000,0.0000
No vaccination,2074.0000,0.0000,0.0000,0.0000
No vaccination,2075.0000,0.0000,0.0000,0.0000
No vaccination,2076.0000,0.0000,0.0000,0.0000
No vaccination,2077.0000,0.0000,0.0000,0.0000
No vaccination,2078.0000,0.0000,0.0000,0.0000
No vaccination,2079.0000,0.0000,0.0000,0.0000
No vaccination,2080.0000,0.0000,0.0000,0.0000
No vaccination,2081.0000,0.0000,0.0000,0.0000
No vaccination,2082.0000,0.0000,0.0000,0.0000
No vaccination,2083.0000,0.0000,0.0000,0.0000
No vaccination,2084.0000,0.0000,0.0000,0.0000
No vaccination,2085.0000,0.0000,0.0000,0.0000
No vaccination,2086.0000,0.0000,0.0000,0.0000
No vaccination,2087.0000,0.0000,0.0000,0.0000
No vaccination,2088.0000,0.0000,0.0000,0.0000
